"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
219.026782;219.027027;"3,4-O-Dimethylgallic acid";[M+Na-H2];C9H10O5;-4.63041e-4;-2.114078;219.027490;1 out of 5
221.044640;221.044888;N-Chlorothylnitrosourea sarcosinamide;[M-H];C6H11ClN4O3;1.97225e-4;0.892238;221.044691;2 out of 5
221.044640;221.044888;Sarcnu;[M-H];C6H11ClN4O3;1.97225e-4;0.892238;221.044691;2 out of 5
226.071256;226.071511;9-(Tetrahydrofuran-2-yl)-9h-purin-6-amine;[M+Na-H2];C9H11N5O;4.84017e-4;2.140997;226.071027;1 out of 5
226.071256;226.071511;9-(trans-4-Hydroxy-2-buten-1-yl)adenine;[M+Na-H2];C9H11N5O;4.84017e-4;2.140997;226.071027;1 out of 5
228.930183;228.930442;3-Diphosphoglyceric acid;[M-H];C3H4O8P2;-4.22110e-4;-1.843830;228.930864;1 out of 5
229.049704;229.049963;Caffeine;[M+Cl];C8H10N4O2;1.86558e-4;0.814486;229.049777;1 out of 5
229.049704;229.049963;Enprofylline;[M+Cl];C8H10N4O2;1.86558e-4;0.814486;229.049777;1 out of 5
229.049704;229.049963;Chloroethyl nitrosourea;[M-H2O-H];C8H13ClN4O3;1.86142e-4;0.812670;229.049777;3 out of 5
231.936086;231.936349;Gold;[M+Cl];Au;3.96571e-4;1.709832;231.935953;1 out of 5
233.947296;233.947562;4-Chloro-7-nitrobenzofurazan;[M+Cl];C6H2ClN3O3;-3.07584e-4;-1.314755;233.947870;1 out of 5
242.079023;242.079301;Butylone;[M+Na-H2];C12H15NO3;-5.59684e-4;-2.311981;242.079860;1 out of 5
242.079023;242.079301;Ethylone;[M+Na-H2];C12H15NO3;-5.59684e-4;-2.311981;242.079860;1 out of 5
242.079023;242.079301;Metaxalone;[M+Na-H2];C12H15NO3;-5.59688e-4;-2.311998;242.079860;1 out of 5
242.079023;242.079301;Carbofuran;[M+Na-H2];C12H15NO3;-5.59688e-4;-2.311998;242.079860;1 out of 5
242.079023;242.079301;Hydrocotarnine;[M+Na-H2];C12H15NO3;-5.59688e-4;-2.311998;242.079860;1 out of 5
243.026498;243.026777;N-Chlorothylnitrosourea sarcosinamide;[M+Na-H2];C6H11ClN4O3;1.42139e-4;0.584872;243.026635;2 out of 5
243.026498;243.026777;Sarcnu;[M+Na-H2];C6H11ClN4O3;1.42139e-4;0.584872;243.026635;2 out of 5
243.026498;243.026777;N-acetyl-S-(N-allylthiocarbamoyl)-L-cysteine;[M-H2O-H];C9H14N2O3S2;3.43355e-5;0.141283;243.026743;1 out of 5
245.044558;245.044840;3-Methyl-1-propylxanthine;[M+K-H2];C9H12N4O2;2.09343e-4;0.854307;245.044631;1 out of 5
245.044558;245.044840;7-Ethyltheophylline;[M+K-H2];C9H12N4O2;2.09343e-4;0.854307;245.044631;1 out of 5
245.044558;245.044840;Isobutylxanthine;[M+K-H2];C9H12N4O2;2.09343e-4;0.854307;245.044631;1 out of 5
245.044558;245.044840;"2'',6''-O-Diacetyloninin";[M+K-H2];C9H12N4O2;2.09337e-4;0.854282;245.044631;1 out of 5
245.044558;245.044840;Caffeinol;[M+Cl];C8H10N4O3;1.48787e-4;0.607184;245.044691;1 out of 5
245.044558;245.044840;"1,3,7-Trimethyluric acid";[M+Cl];C8H10N4O3;1.48779e-4;0.607152;245.044691;1 out of 5
245.044558;245.044840;"1,3,9-Trimethyluric acid";[M+Cl];C8H10N4O3;1.48779e-4;0.607152;245.044691;1 out of 5
246.052417;246.052700;9-[2-(Phosphanylmethoxy)ethyl]purin-6-amine;[M+Na-H2];C8H12N5OP;8.64396e-5;0.351305;246.052614;1 out of 5
